	B.FO.LN	B.FO.MLN	B.FO.PC	B.FO.SP	B.FRE.BM	B.FRE.FL	B.FRF.BM	B.GC.SP	B.MZ.SP	B.T1.SP	B.T2.SP	B.T3.SP	B1A.PC	B1A.SP	B1B.PC	MLP.BM	MLP.FL	PREB.FRC.BM	PREB.FRD.BM	PREB.FRD.FL	PROB.CLP.BM	PROB.CLP.FL	PROB.FRA.BM	PROB.FRA.FL	PROB.FRBC.BM	PROB.FRBC.FL
Sept1	9.245063248	9.327109401	9.643775096	9.599765033	10.12041947	9.85341852	9.771851748	9.952276579	9.88190093	10.03577702	10.09562348	10.0309448	9.978773323	9.816366641	9.924690839	9.017300196	8.585228849	9.285753294	9.722070402	9.468437034	9.397199717	8.960306179	9.428518567	9.295156759	9.539015439	8.989169574
Sept3	5.760192997	5.726922926	5.958367111	5.593276076	5.580641979	5.693518552	5.785427619	5.541968037	5.602994239	5.700447117	5.567034281	5.596994757	5.540789841	5.723263658	5.489271035	5.534590809	5.598741354	5.414942819	5.763970094	5.563271027	5.564625101	5.512803133	5.913456126	5.433091871	5.467622938	5.565392048
Sept8	5.979219388	6.055354749	5.801269045	5.650804761	6.091513668	6.085339669	6.013310389	5.861021544	5.806945242	5.935260931	5.660399101	5.834131379	5.918852904	5.9801491	5.723196295	6.876438364	7.370630454	5.870035863	6.066836901	6.239205165	6.318130617	6.912314937	6.429994998	6.352472528	5.992819782	6.86837152
1100001G20Rik	6.736317363	6.498378002	6.890131707	6.454500551	7.30334483	6.706444445	6.962281404	6.457853081	6.640933698	7.233170342	6.931002595	6.245716852	6.463309656	6.629821414	6.574399767	6.705993793	6.048425114	6.579171095	6.866333521	6.385700798	8.391889131	6.21941379	8.133351086	6.489189668	6.440452836	6.455455454
1110020G09Rik	6.873650197	7.240190919	7.116755655	7.473752013	6.978520566	7.45338149	7.32293913	7.9308075	6.919956568	7.18194964	7.152636388	7.327957066	7.318422298	7.476264213	6.962987363	8.50592248	9.156216002	8.603291532	7.555834301	8.306236261	7.939245583	8.953924325	7.617065365	8.831418516	8.295496974	9.051143218
1110028C15Rik	7.204691934	7.415062014	7.520112356	7.969190599	8.324030342	8.270290654	7.5724049	6.633953284	7.103582962	8.298896393	7.994434716	8.028988072	7.012750041	6.977171145	7.128854954	8.362056357	7.029766113	9.392508338	9.34058289	9.935157387	9.118343286	8.28070134	8.847648244	8.741119754	9.929143038	8.610733277
1110059E24Rik	9.803452036	9.495413958	8.977925557	9.475437297	8.074136467	8.457205474	9.427765942	9.051188907	9.240839978	8.795027474	8.94862664	8.991889606	9.709411097	9.418824846	9.718377439	8.304572301	8.590162475	8.527496946	8.020692019	8.260616148	8.418108128	8.769822309	8.071658105	8.96333135	7.866860596	8.591828992
1190002A17Rik	5.60079455	5.38064057	5.642558142	5.270783074	5.814805034	5.226232346	5.570577282	5.040362059	5.291566724	6.024572341	5.318484362	5.253277069	7.87845949	7.569852318	7.341917571	5.006645863	5.144853987	4.776172435	5.336539289	4.702962228	5.323480561	5.222630704	5.592907716	5.495031003	4.877083272	5.028594199
1190002H23Rik	6.782238178	6.798810469	6.717434698	6.358435531	6.669029129	6.621094588	6.849631119	7.916291917	6.557664854	6.580451542	6.348283181	6.327112471	6.440869721	6.525155881	6.535643975	7.335020924	7.120877206	7.014530486	7.109835877	6.837055998	7.311327515	7.709985804	7.69701828	7.835103822	7.512753102	7.628553442
1190002N15Rik	5.633066422	5.48437233	5.514027551	5.702546733	5.862763801	5.950519738	5.537079626	6.342539931	5.515084788	5.90759494	5.841570637	5.657094033	5.658931222	5.753626374	5.52094915	6.451752227	6.294327279	6.361024951	6.015461887	6.289354348	6.633045588	6.779484303	6.308227069	6.922586385	6.022741386	6.161374454
1190003J15Rik	6.088247624	5.940946629	6.320899207	5.858294374	5.99139864	5.856779078	6.062462826	5.839324743	6.062413175	6.045943092	5.954382453	5.880431668	5.982887887	5.878561055	6.038572262	5.734264551	5.688957086	5.773497061	6.010460597	5.730802963	5.756811593	5.661257446	5.943938903	5.635148789	5.835011999	5.715755206
1300002K09Rik	6.397392269	6.281667344	6.43996161	6.086003142	6.206576807	5.990299147	6.123939972	5.965327936	6.211390605	6.129096829	6.014230302	6.001345887	6.100680559	6.084148972	6.00000526	5.960369222	5.863537921	5.92335205	6.18507496	5.939774303	6.07081506	5.889677959	6.28631425	5.808238302	6.078429088	5.974048181
1300014I06Rik	10.38417844	10.42959016	8.903184626	10.67741859	7.560964042	8.485043829	9.938059275	8.783204636	9.509903436	9.339061277	9.928229264	10.22823765	5.206618481	6.71873424	5.934018691	5.059690558	5.023797961	5.18831256	5.265089283	5.183182116	5.024321157	4.985937544	5.271081994	5.087220957	5.280982288	5.617727513
1600029D21Rik	5.841620954	5.805501415	6.105646653	5.713173403	5.880401464	5.761965145	5.95087429	5.588685656	5.952284637	5.695101129	5.852594009	5.75508252	5.856579076	5.797489041	5.655742029	5.67439356	5.557243627	5.581283952	5.830715898	5.660199413	5.594431107	5.647489127	5.826041866	5.943241534	5.454975341	5.904387754
1700009J07Rik	5.431863612	5.131685507	5.620014497	5.221580677	5.528355649	5.266691607	5.645920651	5.627814979	5.356784709	5.424221167	5.386898296	5.320133228	5.606476775	5.273158404	5.209714587	5.082874997	5.084763043	5.008074488	5.120184645	5.126054641	5.210157645	4.971644711	5.550362015	5.132239571	5.136805233	5.215410687
1700009P17Rik	5.073451802	5.190323816	5.520174968	5.214629971	5.257762455	5.271272524	5.186134714	5.346070441	5.642331899	5.13463304	5.046870805	5.477144097	5.527102665	5.300100534	5.72834322	5.530285376	5.513211739	5.581710771	5.516181182	5.237179999	5.298124292	5.421428662	5.331142674	5.477231543	5.048313214	5.130591841
1700018A14Rik	6.145328966	6.212986887	6.291136311	5.915241226	6.174174021	5.811822927	6.283095763	5.658336225	5.738494942	6.268212293	5.881386461	6.049519686	6.022705142	5.849576911	5.81598352	5.786762315	5.708108127	5.901248257	6.24083648	5.818140727	5.845865521	5.67954672	6.112745998	5.696527118	5.969647838	5.698479651
1700019A02Rik	3.535990714	3.535571921	3.466026688	3.488819181	3.468101035	3.345301744	3.545144678	3.361047768	3.366942294	3.473522848	3.528008633	3.665468573	3.312655494	3.294419799	3.275215687	3.369745643	3.259287554	3.407234901	3.466714119	3.177258731	3.187625244	3.460423677	3.239829533	3.554871224	3.674249715	3.301890005
1700019B03Rik	4.414954091	4.062749185	4.262222662	3.958885971	4.09229766	3.994392662	4.314880173	3.883887957	4.118830358	4.250052025	4.151017215	4.136883141	4.162075731	4.085706494	4.141083955	3.966437389	3.869229846	3.84652006	4.087100707	4.060096396	4.103528413	3.919476749	4.175498653	3.910774228	4.111457045	3.915817249
1700021A07Rik	5.666628788	5.672497946	5.759377797	5.485565293	5.735353384	6.266674743	5.638939774	5.450688899	5.620743769	5.750040999	5.446271672	5.153213548	5.782653187	5.636154278	5.630019039	5.288823635	5.374858649	5.383389803	5.480721817	6.134791141	5.337004555	5.449602091	5.453404813	5.619989074	5.509492111	6.215923166
1700021K19Rik	9.260122598	9.421042951	9.757778121	9.979176554	10.81914096	9.966606387	9.709835186	10.44807438	10.0124514	10.68013945	10.53127023	10.24861235	9.660890775	9.714488179	10.06086608	7.709520864	7.401802807	8.355141689	9.881191168	8.51972365	7.4870334	7.231079705	7.535757491	7.238714583	8.425022412	7.244041879
1700029F09Rik	6.751341867	7.608571484	6.84511281	7.719402055	7.74601083	8.288512065	7.116623981	8.867151044	7.061499727	7.754663065	7.715380449	7.485671281	7.007077739	7.779057106	7.228041029	8.131794983	9.163062919	9.334011394	8.39952389	8.732199655	7.660022048	8.696395317	7.505625797	9.017191749	8.449806342	9.579493953
1700040L02Rik	5.759311656	5.636970632	5.723353774	5.379092977	6.227365004	5.699531274	5.761513115	5.419056789	5.730375483	6.013171905	5.931916239	5.658379073	6.066436544	6.151427591	5.940196513	7.716433662	7.004501766	6.815914375	5.758113037	5.865776979	7.223423194	6.730269498	6.549080376	6.619930402	5.991062983	6.174245275
1700047G07Rik	6.102160492	6.540198831	6.314592005	5.757458017	6.480488102	6.072204436	6.649888453	6.058919657	6.404432567	6.138622681	5.807269904	5.96005369	5.937621384	6.333757652	6.339791225	6.806375618	6.760504843	6.312264611	6.594569947	5.989195787	6.305433118	6.302100888	6.492480933	6.270003721	6.389282283	6.932631307
1700048O20Rik	5.923833751	5.936575912	5.660671964	5.659477451	5.739301769	6.598685782	5.618632171	6.694464686	7.567540884	5.796440284	6.514756128	5.947303801	6.628499492	6.734805797	6.673343	6.169237053	6.470104599	6.300002274	6.554992954	9.15508182	6.649622165	6.953299777	7.187722474	7.928524297	9.150201446	9.58490126
1700058C13Rik	4.128565613	4.113003094	4.429959581	4.112258083	4.143662797	4.085637102	4.283096999	3.92747616	3.851739049	4.105680871	3.950415533	4.225015225	4.22696829	4.104858005	4.053820922	3.908313353	4.136634366	3.943274359	4.284728804	3.915747151	3.881504746	3.863697321	4.015890018	3.961712838	4.008388282	3.860817164
1700069B07Rik	6.384237214	6.253377302	6.575866952	6.096600613	6.246062194	6.135966426	6.412124938	6.106214296	6.180622633	6.323863614	6.087871547	6.034068949	6.312099998	6.150907582	6.171783945	5.925871872	5.915182256	6.047169001	6.296469644	6.010729869	5.973670201	5.901605472	6.343658762	5.89545451	6.079857365	6.059186526
1700106N22Rik	6.747606258	6.861523682	6.71084821	6.970035313	6.487439185	6.723872513	6.888252122	6.448640551	9.17620931	6.957525015	6.646474708	6.479785652	7.55128042	7.343986768	8.054548427	7.275511595	7.39764811	6.533466272	6.287472911	6.54916036	6.829709206	7.107620224	6.403551921	6.958923467	6.360111396	6.667144666
1700110M21Rik	5.319592646	5.279198877	5.883194754	5.330523742	5.665335917	5.363380199	5.680079573	5.324681014	5.463335816	5.330962279	5.404251456	5.251206548	5.602137141	5.38282689	5.281045366	5.267703391	5.183061663	5.303050085	5.296421921	5.368333007	5.462199592	5.109814639	5.769580019	5.128599979	5.286488147	5.346098816
1810011H11Rik	5.559730407	5.275848871	5.29070454	5.345735813	5.424592944	5.183667799	5.289300854	5.140536005	5.275074113	5.355091461	5.164275421	5.534771317	5.465142989	5.294331568	5.301783943	6.926828493	6.5787722	5.106134714	5.40294042	5.004089349	6.152976359	5.39550386	5.74814118	5.529402442	5.080953221	4.947186113
1810011O10Rik	4.164331745	3.822318862	3.881374224	3.806836146	3.936226467	3.953941878	4.025138085	3.859505797	3.872707299	3.928016516	3.867896464	3.823684832	3.909046614	3.829264382	3.89207363	3.777548592	3.795247451	3.760135766	3.905106964	3.794596083	3.673454663	3.732952934	3.988625615	3.822645181	3.777602068	3.710327063
1810033B17Rik	5.797294483	5.879109421	5.778614233	5.58971955	6.00586554	5.859901651	5.869875518	5.646611029	5.625462407	5.48846038	5.590500224	5.513191732	5.529795965	5.45469849	5.469643988	6.129905818	6.019442467	6.001264058	5.906136189	5.347194365	8.523261886	6.04693554	8.570638912	5.804990573	5.488189346	5.817501322
1810046K07Rik	7.413039308	7.485098587	8.028622191	7.463427918	8.031160823	7.737621195	8.186279676	7.32543199	7.108803908	7.836865022	7.736595856	7.41013755	10.45618994	11.12955942	8.455974712	6.710727238	6.407480789	7.490784038	7.91757457	7.372858967	6.768321529	6.470009125	7.043453055	6.435126275	7.406265108	6.783464948
2010001M09Rik	8.502124103	8.766610068	7.980241658	8.255906041	7.943871525	8.988750194	8.446044719	10.05218165	10.41800708	8.370119515	8.451679568	8.21234463	9.795960088	10.64655154	9.667991856	5.966999676	6.870756373	8.88458388	8.701037712	10.30779473	6.609650077	8.723345468	7.588146252	9.855565206	9.350707698	10.84472713
2010002M12Rik	4.316844469	4.277717006	3.949566058	4.113055898	3.81663725	3.882949487	4.109040111	3.920436229	4.052018762	3.895871314	4.185715926	4.35643495	4.107514914	4.8870126	4.083607679	3.77547728	3.546853313	3.781698925	3.583707612	4.001949326	4.136456643	3.439086737	4.466000576	3.634655218	3.843307213	3.638618366
2010002N04Rik	6.401508451	6.369435075	5.918916493	5.931246527	7.633009006	7.859082288	6.57685768	5.374544543	5.964984618	6.900655117	6.531246283	6.653798091	5.471224319	5.726371221	5.52621178	7.692061331	7.780262411	7.217688595	8.067406573	7.57744041	7.506041996	7.513491535	7.512101428	7.430423001	7.568007269	7.409680295
2010007H06Rik	7.177760861	7.476667098	8.672007088	7.934393638	8.346925725	8.495363388	8.442785814	8.209218909	7.260040088	8.262055214	8.406252775	7.66307416	7.733598159	6.961794241	8.01855944	5.167062823	5.262770138	8.563711978	8.647445714	8.863783723	5.242892083	5.782113215	5.706963545	6.489312787	8.130842517	7.443672398
2010110P09Rik	5.820584903	5.854476964	5.814594855	5.754103603	5.893575784	5.722644529	5.74340815	5.619625271	5.534315853	5.879561196	5.506857906	5.67903432	5.686464109	5.587577519	5.619547022	5.589931232	5.556750251	5.628541291	5.60888512	5.407853505	5.54213524	5.600255875	5.736606228	5.539091587	5.648212316	5.73146929
2010300C02Rik	6.280753142	6.202672385	6.402946103	5.810623901	6.223161225	6.118167276	6.1902494	5.978875928	6.039321937	6.087280371	5.95655079	5.979100844	5.917582923	5.876011812	5.926571954	5.847220874	5.738328297	6.234941302	6.495841173	9.332609782	6.347766627	6.091916998	6.681803079	6.472215887	8.295934351	6.208106872
2210010C17Rik	5.433647195	5.413922361	5.657855288	5.0923766	5.392490307	5.254869888	5.329062586	5.224544553	5.299473022	5.389260482	5.162377901	5.12159706	5.338726282	5.210608359	5.185320807	5.090200302	4.974263142	5.077750018	5.38199739	5.149428743	5.229489227	4.981787213	5.678671964	4.826185756	5.293484524	5.181627361
2210020M01Rik	5.940133855	5.921787789	6.260911382	5.980832666	6.098595712	5.793589871	6.07000284	6.00745417	6.026820711	6.055648306	6.217120183	6.120727939	6.076229851	6.067677075	5.93909804	6.989933441	6.980226042	5.819321602	5.980443511	5.647736625	7.294640659	6.808817485	7.712949946	7.346022262	5.680699424	5.718326004
2310015D24Rik	5.97103536	5.858862925	6.022505417	5.825227637	5.828848186	5.621707094	5.79740733	5.678364923	5.941010817	5.812899489	5.894949499	5.786875988	5.72674041	5.786605509	5.721834707	5.415750217	5.505524706	5.770504007	5.864263747	5.536458083	5.587977986	5.461606044	5.935947047	5.55795326	5.416539149	5.591279477
2310016C08Rik	5.839017297	6.005205339	5.871033712	5.777489854	5.655885107	5.91085496	5.917690322	5.82791808	6.142465857	5.712211487	5.893667999	5.822364755	6.05537355	6.080588028	5.993301489	6.434221213	6.665043558	6.205055548	5.76418247	5.852007996	6.39581001	6.40195636	6.200117843	6.322664283	6.255595147	6.073298261
2310044G17Rik	7.819731402	7.742797382	7.452146774	7.934458118	7.589386238	7.295412941	7.639427539	7.882317795	8.75238455	7.739738088	7.744975073	7.736661695	7.403112604	7.929277349	7.341145175	7.811149882	7.829228223	7.839617007	7.608909509	7.490113065	7.458564101	7.637073309	7.32966047	7.680652546	7.497554354	7.596119422
2310061C15Rik	6.660577133	6.650760252	6.134925957	6.376583852	6.610683331	6.984053443	6.153368274	7.980493209	6.595345017	6.363905207	6.47513948	6.483668545	6.26491607	6.691229616	6.436357869	7.351587917	8.389393003	8.971190597	7.408699125	7.758153244	7.175064454	7.895534084	7.476021941	8.400367004	7.576843827	8.666634587
