	GN.ARTH.BM	GN.ARTH.SYNF	GN.BL	GN.BM	GN.THIO.PC	GN.URAC.PC
Sept1	9.313711511	6.672030668	7.470861657	8.96933975	6.589740021	6.496419206
Sept3	6.000375653	6.371891039	6.005938877	5.796983786	6.072121525	6.208584237
Sept8	6.282064131	6.689668175	6.291854618	6.03815081	6.257822157	6.183994584
1100001G20Rik	11.96209874	10.01938867	11.33313429	11.77886711	10.32192776	10.21244576
1110020G09Rik	8.002982992	7.379309625	8.054866742	8.293980583	7.601871297	7.750302339
1110028C15Rik	6.741923543	8.049179674	7.526312997	7.610077695	8.369829816	7.413642314
1110059E24Rik	7.340277405	7.33012512	7.825367155	7.624742827	7.132756415	7.624163297
1190002A17Rik	5.486373285	5.559256239	5.432730072	5.714767541	5.606385964	5.847806538
1190002H23Rik	7.717220583	8.524497053	7.413935615	7.526993681	7.52774545	7.530556939
1190002N15Rik	5.52093344	5.850330214	5.942855395	5.60328436	5.667848613	5.879356975
1190003J15Rik	6.132850304	6.216433523	6.40059713	6.09064281	6.314843929	6.428673944
1300002K09Rik	6.409006732	6.660928617	6.66231138	6.201346176	6.511677816	6.545367636
1300014I06Rik	5.450497557	5.989117052	5.267425931	5.150943451	5.633384709	5.574834177
1600029D21Rik	5.659971164	6.071759095	6.074020118	5.969176974	6.420890504	6.284176024
1700009J07Rik	5.299884476	5.48825577	5.689000898	5.554479878	5.715178617	5.643120228
1700009P17Rik	5.156744465	5.785420644	5.535136415	5.14303417	5.198321271	5.798440263
1700018A14Rik	6.192841181	6.60070685	6.480837583	5.949276952	6.322455784	6.254942305
1700019A02Rik	3.431471418	3.893634025	3.38723845	3.256437048	3.33208251	3.748586462
1700019B03Rik	4.32638634	4.852220286	4.394235161	4.247798424	4.341316887	4.642867124
1700021A07Rik	5.948951979	5.90401115	5.939675587	5.981582693	5.767499433	5.994477145
1700021K19Rik	7.421822754	6.751461489	6.915997657	7.304769751	6.604715805	6.888459957
1700029F09Rik	5.648834506	6.144302708	5.657433265	6.422499612	6.014474322	6.002563014
1700040L02Rik	5.790222062	6.211193947	5.758471972	5.541800556	5.564404591	5.931612937
1700047G07Rik	7.354781835	7.48586043	7.010006599	6.26833099	6.799120989	7.189652282
1700048O20Rik	5.238255685	5.336891525	5.304818871	5.089550056	5.255031089	5.237183824
1700058C13Rik	4.647905437	4.933083159	4.557951219	4.2508517	4.55197531	4.487677136
1700069B07Rik	6.621025212	6.771321751	6.892705923	6.405310832	6.702296917	6.806642845
1700106N22Rik	5.833907135	6.099334484	5.972164182	5.587313229	5.975766972	5.919993899
1700110M21Rik	5.817184072	5.72904423	5.8015924	5.712833046	5.596578399	5.803548231
1810011H11Rik	5.769298343	5.930226391	6.261159689	5.7104297	7.686332203	7.270820442
1810011O10Rik	4.253535517	4.669839376	4.468935151	3.906323024	4.038169837	4.267216162
1810033B17Rik	12.25659724	11.50965336	12.10181145	12.25702709	11.66220379	11.42296477
1810046K07Rik	6.929682129	7.188572362	7.444911073	6.966421815	7.160350138	7.179566782
2010001M09Rik	6.578036495	6.637228638	6.427534103	6.265607546	6.538148054	6.619284367
2010002M12Rik	7.959719739	7.257064693	7.172931489	8.060411282	7.249523087	7.466186066
2010002N04Rik	9.319345163	10.28350215	9.511139411	9.619143636	9.254667024	9.072272869
2010007H06Rik	5.272282034	5.258047748	5.524673866	5.233770169	5.597462643	5.404609114
2010110P09Rik	6.093802408	6.364326126	6.201346993	5.91114987	6.075131827	6.137545875
2010300C02Rik	6.339657631	6.692233754	6.525022729	6.164069217	6.29595868	6.651685573
2210010C17Rik	5.474896749	5.832830111	5.663197534	5.448141916	5.713684819	5.811687658
2210020M01Rik	7.837532276	6.040364982	6.505375968	7.938111385	6.060710341	6.043095838
2310015D24Rik	5.767593008	6.150065426	6.05293968	5.957472973	6.077601207	6.102748402
2310016C08Rik	5.696084721	8.827365995	5.70870318	5.719407988	7.543253558	6.159848469
2310044G17Rik	6.688089884	7.714521436	6.765904213	6.754157287	7.263371246	6.898400248
2310061C15Rik	6.581493862	6.55432638	6.199522506	6.678969436	6.198481057	6.96219463
2410066E13Rik	6.334526564	6.212510976	6.496776033	6.234129563	6.999793725	6.563097101
2410127L17Rik	5.57027064	6.579777023	5.020196959	6.167266592	7.168156617	6.210623943
2610018G03Rik	9.657890114	8.402208693	9.392940023	9.930627173	8.179236007	8.595038247
2610019F03Rik	5.607191216	5.904679174	5.801681202	5.259751736	5.738097665	5.792857087
2610020H08Rik	5.722144479	5.527791836	5.585325133	6.058977183	5.49942391	5.503817259
2610034B18Rik	6.439769394	6.783079866	6.737965666	6.170110336	6.515898491	6.427875424
2610318N02Rik	6.051463464	6.464426491	6.184666443	5.886825686	6.01139351	6.21823547
2610528A11Rik	6.186831322	6.261968898	6.204065705	6.183741564	6.331339768	6.261280691
2610528E23Rik	5.896094206	5.899045086	6.158036704	5.768874403	5.968652971	6.073978715
2810026P18Rik	6.36231149	6.368891711	6.745278123	6.443900001	6.366297732	6.461720081
