	MF.103-11B+.LU	MF.103-11B+.SALM3.SI	MF.103-11B+.SI	MF.11CLOSER.SALM3.SI	MF.11CLOSER.SI	MF.169+11CHI.SLN	MF.BM	MF.II+480LO.PC	MF.II-480HI.PC	MF.LU	MF.MEDL.SLN	MF.MICROGLIA.CNS	MF.RP.SP	MF.SBCAPS.SLN	MF.THIO5.II+480INT.PC	MF.THIO5.II+480LO.PC	MF.THIO5.II-480HI.PC	MF.THIO5.II-480INT.PC
Sept1	6.190331389	6.554469134	6.210082945	6.79280168	6.256874039	7.218334615	8.685928588	5.923554099	5.712185803	5.572298527	7.135141843	6.212370896	5.640574657	8.918770681	5.770162152	5.876535773	5.965466472	5.867252378
Sept3	6.129336602	5.693169809	5.471337056	5.774098486	5.39724713	8.191636424	5.661185224	5.683790947	5.55078577	5.639510988	6.281129776	6.140634161	5.630603502	6.952837327	5.555609632	5.705508903	5.761295913	5.622069395
Sept8	8.09341281	7.352789416	7.526887073	7.373172063	8.089803941	6.958270819	8.334033673	8.027050628	7.332815028	7.928913699	7.594841493	7.283120155	7.271350659	7.745630295	8.780048014	7.656021734	8.811097528	9.0699513
1100001G20Rik	6.51855953	6.32229278	6.194473493	6.478705723	6.328580151	6.491532462	7.574139362	6.337611793	6.199455106	8.579185429	6.619419614	6.770583731	6.661676453	6.694905259	6.12969447	6.344591223	6.005125975	6.055860121
1110020G09Rik	6.953103986	7.171780776	7.52446515	7.106573671	7.471623683	7.104529565	8.328601033	7.476065699	7.524983825	7.26362758	6.886653176	7.177718843	7.902645839	6.894080467	7.786192944	7.518043299	7.628176479	7.957409126
1110028C15Rik	6.199559477	6.100988682	6.714553849	6.227736745	7.24862743	6.017817264	6.110670176	5.859080838	6.583228722	6.387286135	5.851833977	7.242032072	7.447042439	6.130459364	6.851319292	6.276273941	6.717128483	6.960684299
1110059E24Rik	6.879463786	7.463155274	7.390628137	7.36327535	7.486367332	7.452138261	7.334683276	7.515214391	8.119931418	7.781013644	7.843368671	7.543006292	8.044779515	7.198781917	7.849509565	7.775986611	8.110791956	7.646719021
1190002A17Rik	6.137809859	5.617093473	6.289401866	5.545651818	5.496509007	6.813951099	5.526909721	9.240810807	7.96022672	9.178560867	6.58282844	5.500196555	5.504324832	6.784258584	8.616007196	8.881877484	8.953293568	8.719047987
1190002H23Rik	7.761963372	7.397930638	6.851646077	7.398927918	7.383647447	7.101989848	8.40499293	6.909394703	7.375366463	8.357859131	7.105514135	7.265090221	6.648554602	7.798653564	6.974324335	6.620807294	7.233056549	7.07052851
1190002N15Rik	5.770238371	6.158873716	6.542302276	5.97425511	6.363959157	5.512535054	5.958605299	6.100090403	5.800803286	6.761877408	5.89399677	5.950340874	7.273199131	5.738032794	6.580256557	6.427141289	6.414598425	6.586012581
1190003J15Rik	6.034665827	6.243014945	5.907446956	6.042464318	5.809915493	5.983913641	5.887028853	5.938872287	5.877056271	5.765919237	6.224800484	6.502444117	6.003848811	6.356848959	5.948757349	6.019720445	5.86526477	6.034330182
1300002K09Rik	6.745741542	9.786381624	10.32086199	9.350933216	7.414171059	7.393776984	6.24595765	6.046805339	6.0774125	6.88720599	6.551223758	6.62437291	6.107405412	6.78952582	7.292866701	6.49021123	7.919023594	8.882029468
1300014I06Rik	7.291923514	10.15351916	10.77151747	9.644507104	8.604300063	6.213318116	5.253008485	5.313842013	5.151677549	5.361295804	5.888197722	7.321630208	7.974284177	7.663795035	5.22900719	5.218937412	5.51102203	5.133349802
1600029D21Rik	5.974513252	9.613454254	6.549025517	9.923329194	5.899333719	6.612547863	5.84238806	5.545439202	5.45997362	12.77045796	5.938524574	6.194447602	5.689790227	6.32775921	5.685310397	5.608040389	5.896535043	5.603184197
1700009J07Rik	5.156568529	5.350256778	5.163689062	5.4173766	5.30531029	6.470197626	5.289410298	5.163077348	5.051878145	5.279180301	5.433875829	6.158089905	5.506334296	5.609333898	5.036117919	5.253727118	5.004992694	5.091902897
1700009P17Rik	5.585306603	5.86371487	5.961508567	5.906386165	5.87840705	5.958259217	5.761578712	5.060309721	5.058470918	5.589175225	6.484766514	6.000213383	6.359673434	5.527339377	5.486204857	5.284811456	5.96356506	5.601850998
1700018A14Rik	6.387490929	5.88715602	6.035722557	5.925678454	6.064641463	6.530194063	5.976352178	5.941157186	5.930910766	5.848329156	7.031193362	6.731365649	5.955510426	6.539460504	6.121086567	5.997680808	5.99932884	5.862788592
1700019A02Rik	3.575070247	3.17755508	3.249317472	3.137605984	3.098544201	4.487010346	3.149562876	3.195263596	3.424648927	3.356538243	4.527942972	3.403272267	3.334606412	3.945233123	3.564772427	3.153297332	3.271326066	3.171201489
1700019B03Rik	4.395035372	3.961961276	3.960763223	3.97737152	3.996112113	4.581067983	4.161704983	4.182059258	4.148481327	4.261901846	5.021190982	4.567048482	4.065029389	4.483854464	4.310936273	4.005190366	4.153891787	4.145147555
1700021A07Rik	5.55965088	6.01077872	5.710120388	5.833995024	5.547505354	5.368113541	5.793424269	5.411773093	5.849092705	5.581021772	6.133733044	6.144809132	5.56832098	5.224331671	5.6644781	5.909693112	5.641575892	5.567081957
1700021K19Rik	7.566635186	7.751703215	8.002575792	7.672684509	8.200716105	7.380493533	7.838748018	7.681913503	7.678112292	7.779466136	7.880775813	7.872918822	8.243230325	7.550460526	8.026083697	7.770949046	8.105132928	8.195488193
1700029F09Rik	6.968241121	7.618907238	7.81100883	7.394468483	7.901094482	6.788312462	8.37710321	7.741015231	8.169089533	7.145979343	6.745004664	7.011589561	7.360157059	6.897789804	7.317157519	7.18537169	7.102625591	7.133016822
1700040L02Rik	5.774078054	5.572153737	5.375614905	5.442223627	5.32865985	5.64445911	7.053392316	5.340950306	5.483106345	5.239120495	5.465762288	5.936795744	5.254886261	6.478086832	5.499996791	5.39902978	5.457028405	5.205774356
1700047G07Rik	7.557181836	6.34635638	5.824960922	6.160526454	5.914882111	7.28587749	7.269237351	6.427075344	6.366480173	5.782596404	7.303230045	6.79628496	6.070885884	8.0762368	6.711363664	6.794239526	7.004715233	6.637315112
1700048O20Rik	5.479112509	4.88447704	4.992343742	4.921691008	5.107401645	5.099692859	5.768632505	5.041603669	5.132718034	4.878050095	5.159572678	5.383109814	5.161586754	5.645148266	5.269925825	5.06835696	4.918114272	5.044127415
1700058C13Rik	4.756692413	3.850631926	3.952767534	3.925258898	3.896913119	4.762991878	4.258463648	4.046654028	4.115305194	3.858637521	5.433440225	4.372599272	4.100871151	4.845911507	4.186540174	4.183650598	4.275930792	4.224248696
1700069B07Rik	6.612198401	6.205790806	6.130977924	6.469130984	6.240876031	7.025309021	6.202998157	6.091466417	6.121186745	6.24127517	6.794451608	6.786905166	6.338675183	7.458512838	6.347202044	6.279795036	6.331893279	6.199565038
1700106N22Rik	6.868668248	7.050709826	7.534958138	7.113162888	7.400083088	6.775156579	7.215466344	7.344774064	7.006654838	7.001157448	6.54523402	6.291083498	6.563998034	7.145613266	7.334388011	7.321101314	7.300209771	7.322372857
1700110M21Rik	5.673495651	5.430251815	5.613630574	5.481819609	5.521292632	5.727287435	5.661195678	5.217667595	5.343756017	5.594662002	5.868033563	6.099345005	5.615789008	5.76876658	5.296140445	5.442061026	5.406826885	5.212906499
1810011H11Rik	7.429356942	8.762315177	9.490143205	8.256947777	9.241317522	5.473692763	7.22347275	8.436964807	8.849747762	9.755004438	5.750877119	8.724917728	10.68251264	5.559407684	9.008994851	8.471197217	8.393604683	8.975242014
1810011O10Rik	7.627704955	7.885968569	6.491001655	6.694616626	8.168450595	4.243234928	3.829277915	4.069241012	8.696437862	6.615804699	5.310581883	8.405017758	5.025601741	5.510534742	4.019592211	3.93085401	8.671662068	3.737337041
1810033B17Rik	8.780257434	7.00216214	5.929948201	8.023937831	6.505173214	9.47725617	7.679198336	8.422819425	11.47802343	11.8026933	9.888595091	5.943560373	5.701805008	8.301128958	7.128628847	8.294427764	10.0013366	6.692248171
1810046K07Rik	7.236440478	6.822506143	6.603500879	6.81252165	6.780897452	6.983391544	6.821754428	6.575895181	6.574849311	6.933144944	7.059525631	7.204637653	7.10125226	6.850243732	6.572754283	6.494593749	6.604896149	6.543659301
2010001M09Rik	6.341680707	7.412002183	7.407057582	7.946016119	7.52786011	6.064488418	6.61929464	6.167730571	5.945311949	6.062766451	6.298663814	6.473067657	6.259142526	7.075335274	6.150368767	6.008543659	5.961666541	5.864236504
2010002M12Rik	3.935337161	4.073451802	3.847670546	3.990049489	3.848850249	4.527480134	3.626598779	3.978598356	4.007207464	3.672240515	4.9942267	3.766259447	3.583787829	4.278995767	3.841426388	3.740528255	3.861283802	3.834451666
2010002N04Rik	9.181640901	10.54687939	10.91858899	10.32207064	10.15654507	8.023740494	8.322352425	7.278784267	7.519210851	7.425050814	8.01620156	8.357152863	5.778721105	7.128009276	7.22314835	8.143880949	7.45736966	7.535281857
2010007H06Rik	5.267689348	5.281781694	5.24394376	5.408694031	5.446436886	4.90736901	5.353670277	5.149443647	5.545483478	5.163466529	6.147577382	5.670373937	5.367039012	5.337769955	5.45718276	5.053985958	5.64672334	4.940000698
2010110P09Rik	6.735970919	6.570259506	6.191380757	6.41954479	8.112840955	5.933794502	6.330456217	5.923520822	5.809660532	5.653324716	6.874543095	6.026676879	6.372266678	6.694996467	9.265490656	6.226234274	6.666105149	8.586910577
2010300C02Rik	6.878985832	6.344219998	6.166230525	6.568642095	5.961556192	6.766558723	6.319668509	5.979601633	6.16252829	5.948976111	6.837703614	6.675011858	6.038341796	7.161896246	6.141141192	5.996429423	6.224100745	5.814309441
2210010C17Rik	5.433193158	5.567915018	5.152750718	5.537470025	5.222748156	5.832678657	5.444786315	5.210888848	5.17113609	5.256570398	5.808508617	5.790220324	5.384864893	5.882468204	5.114825083	5.109559759	5.170519323	5.213386168
2210020M01Rik	6.323269178	5.50414842	5.467137384	5.573611593	5.44122052	6.919974042	7.737619392	6.919806841	5.544119556	6.179282791	6.603901506	6.156831415	5.654432677	5.973999217	5.609044745	7.099819425	5.423125437	5.248217289
2310015D24Rik	5.984032169	5.937063618	5.936318239	5.911660427	5.898781059	5.582714053	5.741353724	5.820716787	5.833778137	5.894691674	5.510411312	5.98875966	6.017740818	5.59566179	5.785390127	5.655687655	5.667367052	5.53440094
2310016C08Rik	7.48433876	8.276151979	8.612616681	8.309681204	8.538205231	5.953393297	6.603561564	6.120185336	6.640592973	7.258620365	5.863092254	6.249500332	7.685280257	5.571164071	6.6767634	6.154556207	8.685212031	7.398733148
2310044G17Rik	7.030835947	6.718971526	6.823956572	6.897705414	6.747960121	6.81954557	7.540462852	6.899364174	7.095109334	6.917364521	6.890075757	7.051807107	7.109656563	7.187953772	7.7771867	7.081512909	8.242771592	8.559176814
2310061C15Rik	6.564127382	7.281989588	7.31568655	7.376940407	7.151131239	6.736884215	8.663569489	7.440723299	7.99846557	7.69483888	6.751119556	6.525472784	6.431012237	7.467603105	7.372524982	7.236877796	7.784337334	7.565309278
2410066E13Rik	6.417589262	6.070109671	6.166105395	6.122907179	6.356649158	6.31375466	6.812898206	6.708165159	7.241056478	5.994643832	6.070406503	6.345562556	6.050934064	6.429639395	6.707770483	6.623437703	7.105866964	6.689400743
2410127L17Rik	6.026592048	6.851733428	7.080977983	6.520757345	7.083322737	7.123898944	7.311778887	7.543011192	7.475097857	8.104183051	6.641977299	5.733724006	6.790745543	6.173246387	7.484781818	7.51742321	7.516485092	7.565465167
2610018G03Rik	5.518494224	4.966808811	4.903583035	5.247801272	5.676959587	6.167626882	8.380575062	6.218820553	7.963356977	4.602561795	7.83121729	6.487551734	4.601258729	8.070095982	6.432910983	6.578446664	6.539463348	6.713531321
2610019F03Rik	6.13410386	5.493746593	5.285160164	5.346947141	5.23567805	5.982333091	5.505690894	5.461752272	5.436967998	5.4001041	6.18570899	5.440165985	5.428115585	6.167258562	5.584980534	5.528598406	5.496024464	5.690955259
2610020H08Rik	5.643734998	5.76243453	6.198732675	5.794025246	6.143275856	5.677009217	5.94656946	5.929778376	5.995025407	6.832024559	5.637308832	5.4760187	5.914644246	5.604787451	5.925345945	5.802100999	5.848481063	6.345273354
2610034B18Rik	7.081357205	8.089827956	8.004667113	7.977716387	7.053659413	7.200883406	6.300129217	5.735930991	6.554977611	7.698513452	6.297078587	6.375417148	5.568561158	7.012040639	6.51746783	5.934330924	7.367188155	6.69496885
2610318N02Rik	6.232456424	6.177700575	6.087453142	6.380812118	6.263928675	7.12071429	8.218751628	6.270396253	6.195055539	6.004368802	6.271562006	6.210799253	5.91661199	7.050000977	6.045857203	6.018498426	6.17696498	5.701469583
2610528A11Rik	6.371479582	6.975549083	7.602195657	6.824353859	7.272877389	6.509442493	6.161213864	6.524580369	6.155214247	6.134098382	6.107332173	8.491446012	6.386674164	7.006622302	6.251924817	6.388838742	6.048751321	6.00895742
2610528E23Rik	6.470883344	6.081046635	5.985117521	6.160687792	6.062780119	5.947642782	7.73610062	6.12824459	6.490454608	6.20952095	5.997996871	6.154506926	6.082882092	6.130115418	6.222045231	6.117845316	6.455899253	6.326162796
2810026P18Rik	7.578033349	7.644732902	7.673287569	7.76188893	8.13029358	7.738017589	8.931342669	7.55919479	7.860852333	7.382699816	6.690568649	8.039537259	7.370138701	7.374273122	7.207080717	7.284161214	6.775067227	7.064618112
2810055G20Rik	4.90421432	3.732852564	3.873385753	3.948184985	5.35598812	4.475055691	4.07069272	3.540362106	7.409979775	3.198766532	4.36600741	5.774020932	3.474868635	4.561014466	4.367433972	3.655088455	5.546708261	4.269349886
