	MO.6C+II-.BL	MO.6C+II-.BM	MO.6C+II-.LN	MO.6C+II+.BL	MO.6C-II-.BL	MO.6C-II-.BM	MO.6C-II+.BL	MO.6C-IIINT.BL
Sept1	5.376764998	6.419740001	7.251579297	5.667278102	5.979398899	6.852186988	6.579581444	5.700366472
Sept3	5.63122751	5.999444606	5.83433536	5.821083449	5.649076503	5.926277806	6.083232519	5.766762106
Sept8	6.621336397	6.852653512	6.488144347	6.762670383	6.069967407	6.591577199	6.832600813	6.037087415
1100001G20Rik	6.677869952	8.371879571	6.824259546	6.632018049	6.73802063	6.690146076	6.595900443	6.597495121
1110020G09Rik	7.437248272	7.686831049	7.038585065	7.266763432	7.40120422	7.08844764	7.085514418	7.376940624
1110028C15Rik	7.295642525	5.457526441	6.166405479	6.942449211	6.982302855	5.621413084	5.92936731	7.308313544
1110059E24Rik	7.478529656	7.621769844	7.129771047	7.180235732	7.455971562	7.382416235	6.586132713	7.66270426
1190002A17Rik	7.204292359	8.040057154	5.622782014	6.173841673	5.250114575	6.163812678	6.282416637	5.134903512
1190002H23Rik	6.533440834	7.456069613	7.565704552	6.78184228	6.932054083	7.25733818	7.188001264	6.728701748
1190002N15Rik	6.010426281	5.709608626	5.82169236	5.95903363	6.028728264	5.638015896	5.601949025	6.160601579
1190003J15Rik	5.92564582	6.265228713	6.151431989	6.027259495	6.290019769	6.302465287	6.275186814	6.066664001
1300002K09Rik	6.19267288	6.317579034	6.722266092	6.56455194	6.4792532	6.492185412	6.796604243	6.262305736
1300014I06Rik	4.988764961	5.458669631	6.273832268	5.262423135	4.96102594	5.444567686	5.671335837	5.118227645
1600029D21Rik	5.839759759	5.989023169	5.664417417	5.87480762	5.872785675	5.995232741	5.8075082	5.907273821
1700009J07Rik	5.434434743	5.558794158	5.51636611	5.379907403	5.632036959	5.656460141	5.945384137	5.39680683
1700009P17Rik	5.606397809	5.570276713	5.812471699	5.812318519	5.650709998	5.581112184	6.577497562	5.535053239
1700018A14Rik	5.900399919	6.316791383	6.278935695	6.237171074	6.164086318	6.199548026	7.014528254	5.912659445
1700019A02Rik	3.292413668	3.249632429	3.485735943	3.362170612	3.332822486	3.281841647	3.915826808	3.1537794
1700019B03Rik	4.021621858	4.359657037	4.451769396	4.4509099	4.482635347	4.264045942	4.544961343	4.285591606
1700021A07Rik	5.57165052	5.886621679	5.766478554	5.415936649	5.953636576	6.035758789	5.737930074	5.721409847
1700021K19Rik	7.816721078	8.334734516	7.713115651	7.726786268	7.623102334	8.189020312	7.870893919	7.750334098
1700029F09Rik	6.249131155	7.744260008	6.960200845	6.577962501	6.765326548	7.165957483	6.502180207	7.116530486
1700040L02Rik	5.188536758	6.054472998	5.370798983	5.37332224	5.525016463	5.977655433	5.580914275	5.189641147
1700047G07Rik	5.850731926	7.026571393	6.881959441	6.568099514	6.053571882	7.135506825	7.338181479	5.564648267
1700048O20Rik	4.997342093	5.519129845	5.095671293	5.161174218	5.087914673	5.361046597	5.308544725	4.936070642
1700058C13Rik	3.956162	4.400116626	4.274137393	4.197535181	4.268614046	4.098804122	4.618103543	3.995943937
1700069B07Rik	6.200692012	6.289090553	6.314176868	6.286206575	6.307477707	6.525827194	7.079503451	6.279224635
1700106N22Rik	6.756968113	6.743960558	6.52673292	6.570485701	7.086750335	7.340867249	6.840043331	7.184565948
1700110M21Rik	5.490302702	5.895519139	5.943476763	5.546303889	5.918924044	5.743325562	6.028463068	5.637797439
1810011H11Rik	6.584234959	6.827089873	6.160702413	6.220206758	5.955072133	5.861618795	6.288203505	5.942545001
1810011O10Rik	3.660198462	4.023151834	4.320592984	4.091908538	4.118945224	3.817132044	4.223488196	3.952603813
1810033B17Rik	10.31306169	10.78049783	10.42611552	8.865038816	8.147646063	9.536225324	8.887530754	9.02666043
1810046K07Rik	6.753652668	6.991582311	7.038178984	6.922092767	7.163320095	7.115383578	6.970694931	6.867921414
2010001M09Rik	6.101984072	6.181394798	6.990594142	6.456368654	6.487312691	6.33161446	6.399928139	6.169468076
2010002M12Rik	3.899942543	4.303668737	3.883161348	3.795444882	3.693230456	4.057415612	4.210459002	3.720981033
2010002N04Rik	8.288891753	8.24584486	8.459349918	8.380483288	7.369675422	7.984053822	8.222752165	7.605936367
2010007H06Rik	5.140766388	5.152122562	5.693844683	5.261441804	5.287174904	5.217180299	5.38430198	5.134496964
2010110P09Rik	5.677696154	6.04790114	5.963334626	5.897611541	5.877731982	5.961523781	6.282008823	5.7394566
2010300C02Rik	5.965543431	6.389892574	6.422530728	6.155874012	6.26187302	6.474451186	6.435415241	6.026768638
2210010C17Rik	5.153821546	5.522918873	5.6620507	5.444233054	5.461153627	5.620689038	5.780542392	5.137946101
2210020M01Rik	7.00571586	7.910871145	6.30976494	6.841586572	6.021104347	6.251306294	7.117569861	5.740381456
2310015D24Rik	5.608713651	5.664992851	5.868434904	5.617000634	5.831096921	5.960343349	5.717151337	5.844032569
2310016C08Rik	5.733030692	6.007937742	6.374710297	5.844373935	5.741985994	6.057347012	5.853288344	5.997828915
2310044G17Rik	7.139281546	7.306542355	6.69852688	7.012741104	7.028455332	7.266766867	6.61836935	6.971478947
2310061C15Rik	6.233146689	8.534418838	6.580590227	6.134383193	6.475464319	7.668815742	6.447332059	6.389296625
2410066E13Rik	5.850039278	6.082645115	6.322022468	6.105550278	6.286055908	6.506207331	6.163310534	6.171363773
