	NK.49CI-.SP	NK.49CI+.SP	NK.49H-.SP	NK.49H+.SP	NK.B2M-.SP	NK.DAP10-.SP	NK.DAP12-.SP	NK.H+.MCMV1.SP	NK.H+.MCMV7.SP	NK.MCMV1.SP	NK.MCMV7.SP	NK.SP
Sept1	10.49145309	10.43927364	10.28302382	10.50098219	10.65800816	10.45209072	10.95874608	10.65635228	10.84428521	10.23086979	10.71525765	10.82319231
Sept3	6.113167751	6.155046897	5.641822481	5.641209785	5.899725078	5.864876162	5.706947664	5.848179737	5.74544576	6.012225985	5.736850174	5.977666117
Sept8	6.186657697	6.288188737	6.407884655	6.098225131	6.171604496	6.162096549	6.214148125	6.112969744	6.027770012	6.218535145	6.132126444	6.391976746
1100001G20Rik	6.709708787	6.560917692	6.645031027	6.462815249	6.736208431	6.48390873	6.601390476	6.617706946	6.731825413	6.396903849	6.537147461	6.452661322
1110020G09Rik	7.293366192	7.211327327	7.251075542	7.482240849	7.444770857	7.185136425	7.195004012	6.792309642	7.207528326	6.870569395	7.66430126	7.166226364
1110028C15Rik	7.189493492	7.043551208	6.788080982	6.621905346	7.165283554	7.078292089	6.976651948	6.24847285	6.737274388	6.567070292	6.808403071	6.793743752
1110059E24Rik	6.935253073	6.921639044	7.450453292	7.734486312	7.071120508	7.285773635	7.037743509	7.023887022	7.011133869	7.442511728	7.25175191	6.840119095
1190002A17Rik	5.451859492	5.838850946	5.627757597	5.839536389	5.659064468	5.72618273	5.73670318	5.566557434	5.642737668	5.526914936	5.539516596	5.69461651
1190002H23Rik	6.757395343	6.933437694	7.068272037	6.790470577	6.749167738	6.708848918	6.868571128	6.851981353	7.145240301	6.785550116	6.841478387	6.871659687
1190002N15Rik	7.029827572	6.965441075	6.90866442	7.152601575	7.144761896	6.940604897	7.054516411	7.313752847	6.748068705	7.145348668	7.041432099	7.134814409
1190003J15Rik	6.127724064	6.133722428	6.185587756	6.011389037	6.206851571	6.165704294	6.408656389	6.526844532	6.419193345	6.246102109	6.240342954	6.220136447
1300002K09Rik	6.340862503	6.476220731	6.550502597	6.242004117	6.245346071	6.427799458	6.378452088	6.269246392	6.201011369	6.23246378	6.369711914	6.430112398
1300014I06Rik	6.037850744	5.532414632	5.66093432	5.380577082	5.437428617	5.444700192	5.616699783	5.606908048	5.439535044	5.353480916	5.550153684	5.643449292
1600029D21Rik	5.70292253	6.251147834	5.790819814	5.745468618	5.888992402	5.577288832	5.904565182	5.742154462	6.035068497	6.072328792	5.977475323	6.118784686
1700009J07Rik	5.258949759	5.556859564	5.335815507	5.246523366	5.491022506	5.390408597	5.442034477	5.654265582	5.626428915	5.50734115	5.418675713	5.414644086
1700009P17Rik	6.085283717	5.591001149	5.665838049	5.840013318	5.915761489	5.743958315	6.047195182	5.542815206	6.594277571	5.684582196	5.908668823	5.833726703
1700018A14Rik	6.751891246	6.75278605	6.386547716	6.417675893	6.582388401	6.382473589	6.470297155	6.488317906	6.862186038	6.57439018	6.330574533	6.704915758
1700019A02Rik	3.763475315	3.359118179	3.489838329	3.304452632	3.329989431	3.355847915	3.720311303	3.711381102	4.002432496	3.449882671	3.182612852	3.630692802
1700019B03Rik	4.270925068	4.510345901	4.462898661	4.200849575	4.332173238	4.503486552	4.23808368	4.557934886	4.370760629	4.488234343	4.432351477	4.523950804
1700021A07Rik	6.176145218	5.838385399	5.983480853	6.057155638	5.556615386	5.651926135	5.87284189	5.760638788	5.920028845	5.593892539	5.730542143	5.617585496
1700021K19Rik	7.474813217	7.464085812	7.854850103	7.839556753	7.575056629	7.398401109	7.702597061	7.734151851	7.637196873	7.268908427	7.467560448	7.589512332
1700029F09Rik	6.709983508	6.810440961	7.184248552	7.75368676	6.501140809	7.112660868	7.153040559	7.584035973	6.500018841	7.179875592	7.339003433	6.798197007
1700040L02Rik	6.61918213	6.83472849	6.827024222	7.21707267	6.832265555	6.64393217	6.778929569	6.317064033	6.757541355	6.082491131	6.861679995	6.864530781
1700047G07Rik	6.578133134	6.581540059	7.248207799	6.839083664	6.234803383	6.652301485	7.180332882	6.667820234	7.103212262	6.463365246	6.819174258	6.903893492
1700048O20Rik	5.037199164	5.168892036	5.296651956	5.264671537	5.003360868	5.680842861	5.462230135	5.335186666	5.428732001	5.189192006	5.125499573	4.962168017
1700058C13Rik	4.389231796	4.348447258	4.667576158	4.179096972	4.287629893	4.653723107	4.53903884	4.427036222	4.63849963	4.300524011	4.240873996	4.266119374
1700069B07Rik	6.61978958	6.619853147	6.473543412	6.280145931	6.653565484	6.64631293	6.605902696	6.578103942	6.633951347	6.707173203	6.579200266	6.713883195
1700106N22Rik	7.161192362	7.073276122	7.28933252	7.60069917	7.116756002	7.158309758	7.377942468	6.473787453	7.151233752	6.593202362	7.458219574	6.913001076
1700110M21Rik	5.571602995	5.79471997	5.613178008	5.692155626	5.689990519	5.667958337	5.912860602	5.513042202	6.033437318	5.955687875	6.123278546	5.580006757
1810011H11Rik	5.565882478	5.573870327	5.480142307	5.16873295	5.60982882	5.506496159	5.490339075	5.26540939	5.194876992	5.46843778	5.266845247	5.746787495
