	SC.CDP.BM	SC.CMP.BM	SC.GMP.BM	SC.LT34F.BM	SC.LTSL.BM	SC.LTSL.FL	SC.MDP.BM	SC.MEP.BM	SC.MPP34F.BM	SC.ST34F.BM	SC.STSL.BM	SC.STSL.FL
Sept1	7.599668406	7.437402954	7.742853734	8.631519041	8.392271336	8.301571491	7.089504154	6.68245672	8.826743111	8.375718902	9.492089719	9.097953628
Sept3	5.50459497	6.264499838	5.903438427	5.493200051	5.904622982	6.018881159	5.543881458	5.798124411	5.661409006	5.64847551	5.658151488	5.545678072
Sept8	6.747686811	7.962199354	6.852527428	7.582799844	7.79486745	7.956315166	6.351230784	9.62749385	6.954622657	7.679199626	7.294893028	7.438663376
1100001G20Rik	6.350065788	6.531079633	6.883784121	6.395853985	7.405872981	6.295025014	6.342439778	6.149290871	6.369325139	6.412427581	7.308926608	6.352362174
1110020G09Rik	8.312586068	9.355209683	8.174791391	9.592332447	8.948744989	9.320792728	8.623681315	10.3937395	8.3937461	9.01614026	8.633302116	8.946799128
1110028C15Rik	7.270658505	8.184571651	5.795847453	8.257249853	8.132887995	7.969950921	7.124972199	7.022382795	8.354151729	8.265187683	8.576820149	8.427417611
1110059E24Rik	8.839754616	7.814095985	7.745164935	7.967535999	7.035269057	7.674782881	8.680810519	7.307033643	8.269291516	8.178968793	7.433634121	8.263143355
1190002A17Rik	8.493808493	5.194644586	5.469686312	5.164086318	5.208930781	5.023899955	5.512399679	4.896443819	5.20414463	5.000628788	5.112120437	5.174959628
1190002H23Rik	6.593844746	7.103268922	9.321526038	6.874962091	7.191089492	6.766637121	7.446089671	7.570392343	6.763558307	6.632743703	6.856532598	6.544389558
1190002N15Rik	6.601163627	6.796443961	5.762928116	6.145642135	6.386023985	6.100543204	6.464099702	7.327077431	6.153226724	6.11676605	5.91289652	6.048425841
1190003J15Rik	5.824314713	6.216540229	6.206032986	5.639112513	5.931504994	6.128241152	5.962730235	5.967739254	6.081405676	5.806644993	5.851480046	5.914850308
1300002K09Rik	5.916441612	6.558788037	6.214179216	5.852532422	6.176625297	5.958694996	6.020353293	6.1027526	6.04415365	6.01044978	5.994115797	5.910875342
1300014I06Rik	5.036374385	5.240993534	5.20655076	5.146618568	5.28544291	5.130875972	5.109373097	5.29461156	5.110198266	4.989098124	4.933662332	5.04520923
1600029D21Rik	5.465699173	5.929788631	5.997787675	5.364690318	5.998176695	5.697335511	5.405326434	5.62656617	5.601537562	5.584852792	5.719313975	5.689627644
1700009J07Rik	5.062685874	5.900842662	5.377101764	4.798570731	5.368739253	5.081278548	5.046189812	5.139567723	5.394942799	5.139418332	5.255752491	5.068402107
1700009P17Rik	5.372471584	5.451410602	5.716598626	5.098150021	5.160079823	5.124227485	5.394526718	5.870192079	5.313294836	4.988298402	5.583697584	4.989718059
1700018A14Rik	5.858508229	6.356598103	6.401472327	5.470704964	6.136706132	6.126883401	5.81184861	5.835983428	5.999577274	5.82948808	5.867788587	5.521243942
1700019A02Rik	3.207158827	3.557207881	3.314416176	3.097841115	3.517838382	3.66880369	3.1105804	3.29556141	3.131457785	3.384982282	3.357702131	3.23051046
1700019B03Rik	3.924533833	4.50807364	4.294405095	3.628007531	4.070867285	4.117703353	3.924935988	3.904859776	3.929852529	3.880220223	3.993798128	3.919163668
1700021A07Rik	5.209691196	5.858068052	5.931958775	5.213629831	5.602444013	5.688115068	5.233210615	5.526436639	5.789790536	5.604697028	5.246292799	5.698356017
1700021K19Rik	8.245951314	7.660515098	7.848679479	7.648632732	7.465188439	7.451630395	7.702040822	6.916175653	7.527526268	7.640249998	7.877256522	7.469586876
1700029F09Rik	8.666667959	9.549399834	8.502824248	8.207584125	7.115616972	7.413855527	8.850772862	10.26158735	8.54997772	8.790768943	7.153071307	7.893468698
1700040L02Rik	5.729069616	6.79341343	6.728303762	8.403530619	7.235433488	7.075797871	6.444728348	6.196609995	7.446005143	7.227053195	7.861394234	7.534849894
1700047G07Rik	6.937762214	6.131667675	7.573867551	5.800535838	6.788142336	6.650521888	7.051842264	6.275925207	6.666022988	6.379269186	6.517022622	6.21353587
1700048O20Rik	5.953458486	6.335227763	5.942830378	6.801006859	5.633977494	6.079027458	5.896157998	6.19013184	6.217336394	6.172599522	6.152116476	7.092750799
1700058C13Rik	4.290313809	4.538954027	4.140579631	3.807746458	3.981426478	4.282338481	4.33467553	3.989597726	4.11322958	3.812323654	4.222320285	3.841475032
1700069B07Rik	6.133067528	6.715786317	6.287262958	5.837121613	6.425709378	6.158205054	5.933597029	6.047073731	6.250986199	6.078490288	6.198380866	5.920623205
1700106N22Rik	6.947404335	7.568118393	7.143700546	7.742246775	7.298575842	6.952447729	6.989908754	6.785642744	7.546711604	7.999361353	7.616649308	7.337689241
1700110M21Rik	5.223786782	6.180127965	5.650994269	5.104522576	5.425952696	5.544266929	5.283529199	5.401657769	5.451039627	5.304782982	5.454597057	5.417521754
1810011H11Rik	5.878064813	7.307331067	7.019962427	7.982054852	6.896130948	5.222455538	6.58448954	5.109582045	7.625229935	7.49857081	7.828423619	5.519655122
1810011O10Rik	3.929563784	4.467762037	4.022131043	3.829034305	3.729324357	4.326254496	3.842120668	3.709158272	3.766467953	3.634221512	3.817159338	5.553031743
1810033B17Rik	7.155984955	5.861553457	7.346407651	5.639107688	7.293450191	5.986482234	6.37536096	5.605452849	5.474586925	5.514363741	7.286371396	5.644522561
1810046K07Rik	6.47823841	7.118365437	6.774289826	6.622304208	6.907718705	6.792346087	6.520688866	6.582805864	6.758275857	6.63986089	6.667101132	6.673482224
2010001M09Rik	6.115685283	6.325819921	6.145183567	7.144014409	6.251642728	6.504842817	5.878120414	5.843292973	5.885526778	5.874835073	6.130270581	7.697205986
2010002M12Rik	3.686474381	4.135288599	3.575574542	3.761753329	3.995463414	3.883086385	3.873636049	3.598085263	3.83587861	3.669230906	4.043848999	3.765264216
2010002N04Rik	8.722330538	8.270458394	7.826822171	7.991673005	7.447480567	7.28321	7.537578997	6.563827754	7.739353644	8.18358452	8.104112969	7.19370621
2010007H06Rik	4.967531388	5.606300084	5.400690479	5.400227088	5.493501102	5.499728979	4.96469435	5.101721503	5.22831847	5.306511977	5.35149406	5.973746723
2010110P09Rik	5.799970583	6.180419415	5.953940326	5.420100579	5.822143775	5.986356321	5.780431718	5.561365854	5.830772508	5.642304458	5.710712776	5.552750547
2010300C02Rik	6.128431576	6.03496179	6.391866797	5.79403283	6.281521457	6.234941302	6.180818862	5.755712808	6.119774274	5.831569471	6.036519451	5.907455541
2210010C17Rik	4.980390956	5.766923732	5.400232782	4.884623968	5.469329233	5.2573891	5.014632021	5.099758072	5.253535517	5.070065114	5.206154794	5.02570656
2210020M01Rik	7.800486225	8.207557609	6.978138034	7.680106774	7.220670465	6.398828043	5.991759914	7.503503778	6.702448382	7.658881609	7.051063894	6.233234268
2310015D24Rik	5.696816412	6.475038663	5.656997775	5.832114463	5.99113254	5.722685509	5.737939085	5.783615112	5.922332262	5.452437294	5.629821899	5.514141201
2310016C08Rik	5.730868161	6.848071419	6.876788679	6.851963452	5.704635922	6.180344155	6.090679856	6.797937071	6.46482099	6.469819244	6.124297803	6.093704886
2310044G17Rik	7.396547415	8.264313808	7.612867515	7.833360501	7.432414119	7.502672976	7.852952866	8.262734518	7.835301664	7.909828896	7.694708201	7.440004122
2310061C15Rik	8.602940686	8.238748413	9.113059893	7.56515642	6.771508397	6.855272988	8.527852032	9.199505984	7.943160934	8.062783627	6.691409469	7.159745222
2410066E13Rik	6.113208044	6.175978615	6.154928121	6.942478144	6.519346899	6.300250046	5.949701448	6.287510157	6.30964642	6.543652858	6.761286603	6.428239559
2410127L17Rik	8.208067356	9.081274508	7.545668549	8.579559824	7.46327423	7.543483768	8.758178789	10.13593927	8.702366302	8.698231677	7.863680803	8.153904619
2610018G03Rik	9.178237747	9.781239539	8.987854804	10.03090154	9.689383909	9.546970386	10.0395214	9.017920656	10.18201513	10.27912012	9.927515271	9.996630108
2610019F03Rik	5.460872501	5.555148938	5.902002006	5.259488436	5.564771411	5.707258807	5.72899255	5.345037928	5.327840032	5.081239484	5.311131301	5.129491162
2610020H08Rik	6.416189505	6.997237075	6.019592211	6.948337638	6.506507267	6.824884934	6.449849115	7.383133581	6.584633348	6.918133955	6.563466796	6.897122415
2610034B18Rik	5.825681339	6.580424407	6.235497951	6.292925276	6.345974672	6.065371971	5.85681393	5.889024456	5.935227531	5.999319068	6.122249593	5.890974352
2610318N02Rik	8.851841055	8.374556787	9.197526745	7.535913754	7.498292626	8.821963459	8.88792082	8.628177391	7.78078088	7.893721687	6.962574086	8.643857993
2610528A11Rik	5.888998082	6.599350528	6.32772688	5.781342226	6.202750733	5.98539189	5.807421903	6.024790615	6.148647407	5.772834477	5.942548911	6.217621393
2610528E23Rik	7.160465779	7.918806303	8.408872746	7.449759993	6.973776948	7.138535993	7.974917199	8.567373558	7.357095812	7.456672697	6.963529996	7.092157743
2810026P18Rik	8.905717328	9.289408107	9.306030465	9.404668715	8.072577115	8.466103659	9.439970334	10.524094	9.123255694	8.958773815	8.271425209	8.616243548
2810055G20Rik	3.767559463	5.655599413	3.969847343	6.903613964	5.873328446	5.596385582	4.571345118	3.432525198	6.210878785	6.434784998	6.036262278	6.173807035
2810417H13Rik	11.20243048	9.256993051	9.91280358	9.020448029	7.909504314	8.97043946	11.12502984	9.755247463	9.849331752	9.573915065	7.722397486	9.910426347
2900026A02Rik	6.481871531	7.243648614	6.917589288	7.133867959	7.654137383	7.758732233	6.593003115	6.65409608	7.11267303	7.316309593	7.683633066	7.981053757
3110007F17Rik	5.264470124	6.363210509	5.153241927	7.087764786	6.418635239	6.381374519	5.653873072	7.005745237	6.308128755	7.00975809	6.769535061	6.796526375
3110043O21Rik	7.018013929	6.672604253	5.480024868	6.763895756	6.099484577	6.612848352	6.32684351	7.418423574	6.512912667	6.735388137	6.404036818	6.36495144
3110052M02Rik	6.325105735	7.119421545	5.046133049	7.27571667	6.452226412	6.654422174	6.260220161	6.471796314	6.822692551	7.157915311	7.14616099	6.80593278
3425401B19Rik	4.950539956	5.102383086	4.790931865	4.59027465	4.772211187	4.863236419	4.690852855	4.625916284	4.651146432	4.679575807	4.693221161	4.705140232
3830403N18Rik	3.545795433	3.862798509	3.390621833	3.209531347	3.24540946	3.401698723	3.695199519	3.571403776	3.183248295	3.376269543	3.243176523	3.112124608
4631416L12Rik	4.882377308	5.286269425	4.849428872	4.782530881	4.966019713	5.188797838	4.943088341	4.880683077	4.949126345	4.786460449	4.857529875	5.019108081
4632434I11Rik	7.876968306	7.464219397	6.010356902	6.47852642	6.55337484	7.318251756	7.906303981	9.250539913	7.302807057	7.431276534	6.235755138	7.508937246
4831426I19Rik	8.078414321	8.077409918	7.949179468	8.347155675	8.272446278	7.777355711	8.017064868	7.253915069	8.389472166	8.146002687	8.627498501	8.001574271
4833422F24Rik	6.290991992	6.395448449	6.46571604	6.01394531	6.51982231	6.464870805	6.471743487	6.279730356	6.26187772	6.061390635	6.37385698	6.150409388
4833442J19Rik	5.718114077	7.295099883	6.286049437	7.52889893	6.809302962	7.149411129	6.16807971	6.71455326	7.075849737	7.204993621	7.24374111	7.186638716
4930408O17Rik	5.512370179	6.243952733	5.701272726	5.37249364	5.910038646	5.879946685	5.554389316	5.65917962	5.673781121	5.692943231	5.545139528	5.708929365
4930422G04Rik	8.595576014	8.716387531	7.319357809	7.708295084	7.720823158	7.838249235	8.430283739	8.866928682	8.595251699	8.59108807	7.410421105	8.344628133
4930427A07Rik	8.5521575	8.166365975	8.342955429	7.506302556	7.174038826	7.378879764	8.387961299	7.964662586	8.50439396	8.086234436	7.248997115	7.585101879
4930431A04Rik	4.271246374	4.623773238	4.275238039	4.108599726	4.391146762	4.421149227	4.389190487	4.266707846	4.331436513	4.215899876	4.289091782	4.162097221
4930438A08Rik	5.67282415	5.921423239	5.931828013	5.519589079	6.283070445	5.888166867	5.660098607	5.66494783	5.863314072	5.511275102	6.396154921	5.500711245
4930447A16Rik	4.31327488	4.910346517	4.148155891	4.095344976	4.486727243	4.470289562	4.211850666	4.299332589	4.391179993	4.165923995	4.181168825	4.110680615
4930447C04Rik	3.190325133	3.865983131	3.061879861	5.557970614	4.69659852	6.574266542	3.410626033	3.370554899	4.303715004	5.071382985	4.867153516	6.994015071
4930503L19Rik	7.177263383	7.374247905	5.581709767	6.945624869	6.816206726	7.214768537	7.198640498	8.089247867	7.152237681	7.177307905	6.591253542	7.505431283
4930506M07Rik	6.024687576	5.118635895	4.783142307	5.62385906	5.468610468	4.674494549	4.893761825	4.69237419	5.108030929	5.063865296	5.549248169	4.492141606
4930515G01Rik	6.0723731	6.486065915	6.748087271	5.960766532	6.41814215	6.899607471	6.496411216	5.919981191	6.348506865	6.720854388	6.583261824	6.572915431
