	PRET.DN2.TH	PRET.DN2-3.TH	PRET.DN2A.TH	PRET.DN2B.TH	PRET.DN3-4.TH	PRET.DN3A.TH	PRET.DN3B.TH	PRET.ETP.TH	PRET.ETP-2A.TH	T.4.LN.BDC	T.4.PA.BDC	T.4.PLN.BDC	T.4+8INT.TH	T.4FP3-.SP	T.4FP3+25+.AA	T.4FP3+25+.LN	T.4FP3+25+.SP	T.4INT8+.TH	T.4MEM.LN	T.4MEM.SP	T.4MEM44H62L.LN	T.4MEM44H62L.SP	T.4NVE.LN	T.4NVE.MLN	T.4NVE.PP	T.4NVE.SP	T.4SP24-.TH	T.4SP24INT.TH	T.4SP69+.TH	T.8EFF.SP.OT1.12HR.LISOVA	T.8EFF.SP.OT1.24HR.LISOVA	T.8EFF.SP.OT1.48HR.LISOVA	T.8EFF.SP.OT1.D10.LISOVA	T.8EFF.SP.OT1.D15.LISOVA	T.8EFF.SP.OT1.D15.VSVOVA	T.8EFF.SP.OT1.D5.VSVOVA	T.8EFF.SP.OT1.D6.LISOVA	T.8EFF.SP.OT1.D6.VSVOVA	T.8EFF.SP.OT1.D8.LISOVA	T.8EFF.SP.OT1.D8.VSVOVA	T.8MEM.LN	T.8MEM.SP	T.8MEM.SP.OT1.D100.LISOVA	T.8MEM.SP.OT1.D106.VSVOVA	T.8MEM.SP.OT1.D45.LISOVA	T.8MEM.SP.OT1.D45.VSVOVA	T.8NVE.LN	T.8NVE.MLN	T.8NVE.PP	T.8NVE.SP	T.8NVE.SP.OT1	T.8SP24-.TH	T.8SP24INT.TH	T.8SP69+.TH	T.DN4.TH	T.DP.TH	T.DP69+.TH	T.DPBL.TH	T.DPSM.TH	T.ISP.TH
Sept1	9.518775489	10.04956216	9.570798177	9.453511509	9.480695701	10.29569368	9.841514606	9.096178908	9.042245145	10.94252501	10.55036851	10.84625662	10.6136818	10.75087969	9.770585659	10.0846018	10.59351181	10.59231192	10.6963368	10.89484923	10.75393477	10.85010847	10.97274772	10.79257135	10.12033833	10.21156058	10.9224124	11.15123026	11.03798814	9.384554829	9.352485328	9.276374645	10.72668922	10.51200023	10.35725904	10.49887586	10.82190114	10.6992125	10.72321444	10.87611731	10.74487316	10.71105412	10.32754946	10.37811524	10.36944282	10.71317237	10.80477272	10.71767488	9.829664656	10.65385674	10.15005548	10.74036395	10.70742013	10.72545349	10.07220319	10.72096896	10.92751712	10.62485792	11.12431327	10.2062792
Sept3	5.570697694	5.825907712	5.638790661	5.663235018	5.710393192	5.746886004	5.77807713	5.703359144	5.876303289	5.853509179	5.788504318	5.790613062	5.984381999	6.140873387	5.791148125	5.460899797	5.987461854	5.840188768	5.880028344	5.645912968	5.767416448	5.829214479	5.6702219	5.979776144	6.064742765	5.704881645	5.771353887	5.903099345	5.873006008	5.661704952	5.828988624	5.634262177	5.916478237	6.070141701	6.254644115	5.777769497	5.603978384	6.311817932	6.056212836	5.902934597	6.141948395	5.750430534	5.662825482	6.101452583	5.683716102	5.903222292	5.832629293	5.914459283	6.199331423	6.133453928	5.582218773	5.663777249	5.591277482	5.857859107	5.612551057	6.309729779	5.995338282	5.520885261	6.077767818	5.526904506
Sept8	6.515853823	5.98896979	6.389126227	6.236472528	6.542674906	6.051447512	6.058382885	6.452814497	6.295418146	6.31387647	6.128788294	6.459260562	6.446728779	6.404355924	6.661283578	6.247707929	6.267712753	6.283724882	6.620760384	6.589441421	6.199961509	6.643720089	6.260459805	6.306348528	6.325290162	6.16301913	6.29170546	6.264656525	6.258256341	6.303713786	6.150246896	6.103522817	6.49737179	6.558433979	6.645660594	6.32407371	6.436350094	6.536206282	6.522251436	6.26185986	6.626400197	6.204480504	6.639881867	6.711042617	6.828295823	6.438756928	6.290499972	6.450913199	6.63325779	6.723911183	6.129305688	6.285257942	6.078407027	6.293036284	6.395999036	6.591252046	6.494896642	6.642808413	6.292745559	6.416711407
1100001G20Rik	6.440666553	6.607001786	6.299721801	6.506336147	6.508882329	6.665551477	6.637190471	6.507404584	6.656198162	6.644819588	6.711424009	6.332370191	6.822195623	6.393373867	6.755589086	6.596492429	6.685338199	6.724618442	6.398270553	6.58343835	6.355490881	6.564298389	6.462448831	6.430357205	6.743626042	6.601203997	6.425718888	6.698982878	6.56402853	6.660107166	6.571347646	6.51100463	6.641291685	6.292568887	6.856519526	6.425934798	6.403509742	6.58456821	6.529504476	6.57683501	6.594839627	6.652618903	6.701836421	6.649831703	6.522903184	6.546324984	6.429416785	6.518988795	6.732507096	6.530812069	6.537555961	6.504271858	6.512322241	6.369314668	6.500843473	6.459181311	6.541152386	6.419382142	6.774222168	6.386974148
1110020G09Rik	8.080637413	7.504249343	8.191942333	8.371430574	8.012640553	7.365528951	7.832304381	7.96540471	7.516950026	6.946509418	7.167468827	6.990369875	7.170605445	7.098034891	7.109433695	7.333348889	7.160504269	7.071314688	7.363197365	7.365004826	7.376618579	7.457047564	7.154178456	6.89608936	7.089045755	7.180879846	7.436769276	7.360959716	7.337133934	7.105103237	7.472755544	8.157078332	7.338482951	7.225556117	7.08513993	7.845935127	7.425565605	7.208669094	7.331072191	7.258405856	7.045438602	7.054773245	7.037481796	7.183091446	7.354287736	7.19885164	7.247785768	7.137229577	6.803256318	7.022315284	7.185952087	7.272043413	7.380661924	7.258044921	7.812544432	7.182148669	7.052389447	8.153192601	7.425966679	8.509659162
1110028C15Rik	7.900409379	8.18271191	7.816814712	8.239997035	8.255338011	7.983873749	7.923904646	7.929715067	8.285166374	6.474386828	7.135882656	6.62684502	7.211387684	6.340762234	6.686246983	7.103532959	6.69886785	6.883251787	7.032151181	6.879334509	7.568734427	7.053689892	6.719284309	6.621871166	7.025710989	6.899060498	6.666725352	6.649267197	6.775220023	5.908049896	5.795824081	4.991861931	6.657313686	6.494726006	6.58376577	5.901498478	6.053689168	5.91366176	6.579325996	6.665411721	6.098924803	6.525932613	6.676367561	6.535513343	6.771703382	6.970697998	6.674288797	6.521661156	6.574046492	6.280704587	7.013178234	6.332697194	7.237814483	6.883221234	7.695996596	8.447654541	7.369547329	9.311891556	8.683470255	8.623429533
1110059E24Rik	8.244829989	7.77066059	8.209994518	8.276336373	8.572094477	7.571417935	8.076724936	8.20836411	7.958462526	7.140489993	6.608560889	6.865845425	6.751255715	6.750847202	7.664009639	7.788652	7.015837623	6.60503448	7.002149667	7.100192051	7.448854985	7.215052426	7.163000171	7.248025272	7.329556878	7.701851897	6.848453521	6.985044583	6.840450645	7.642827422	8.042611327	8.585682541	6.865758423	6.624716999	6.453135619	7.82730311	7.655231122	6.969640164	6.894674699	6.602047046	6.818099387	7.200545876	7.367341941	6.64274994	7.158357226	6.848773148	7.059070047	7.077423182	6.784299814	6.729937909	7.937265129	7.034764855	7.134732625	6.990979812	7.956160644	6.625080008	6.525473306	7.410141791	7.115124477	7.755371659
1190002A17Rik	5.257791364	5.101960968	5.264262428	5.298456705	5.299418072	5.159565951	5.093692563	5.369664227	5.616147406	5.235910831	5.019223753	5.060729072	5.373381407	5.193575954	5.218751466	4.867924461	4.971709081	5.320046556	5.324723012	5.045881223	4.946975655	5.219329887	5.054708136	5.315806514	5.409760898	5.098983737	5.124042711	5.235461571	5.468060837	5.136401955	5.160666113	4.987989299	5.120170818	5.365588731	5.409991651	5.186280006	5.129516577	5.519059584	5.178101106	5.38892769	5.521066446	5.156798388	5.282743732	5.387503853	5.211646933	5.008997744	5.132106561	4.970223258	5.186789733	5.38546325	5.072490297	5.099211031	5.026745478	5.064815324	5.353803169	5.458495749	5.036138438	5.024678712	5.389777878	4.999164197
1190002H23Rik	8.238679558	9.267375209	8.140645493	8.984148124	9.136700494	10.18524774	9.498829332	7.763303563	7.548965978	8.17954157	7.681009601	8.088234371	8.616936818	7.856015228	8.518654992	7.407495801	7.306353845	9.629293045	7.976635719	7.077264721	8.538464185	7.771763897	8.13306119	8.143732174	7.912207636	7.834550372	8.743473341	8.334417511	8.383388938	7.537930446	7.564193196	7.458991776	6.916843243	7.202620802	6.986230587	7.231046734	6.88013286	7.05889441	6.770900386	6.786674332	7.49516322	7.104750746	7.066935538	7.493981104	7.29785033	7.298649457	8.987899132	8.558473777	8.448893244	8.539741718	7.828638774	9.806067247	10.07823351	10.33992369	8.722950712	9.204575383	8.702356258	9.362582467	9.273758929	9.147615878
1190002N15Rik	6.772172469	7.027370829	6.753900655	7.142070798	7.026051597	6.885622355	7.050741473	6.186548097	6.164762147	6.186098388	6.112589633	6.067807916	6.015210598	6.027456351	6.370690894	6.256075305	5.899460854	6.030023343	6.404108936	6.475966837	6.700196475	6.829214056	6.008737858	6.017126871	5.97252724	6.161491189	6.045397099	6.30504818	6.015568188	5.856608123	6.14948836	6.699739009	6.657056865	6.700904358	6.757158626	6.842877874	6.708112726	6.439614827	6.572291452	6.777879937	6.137524699	6.237078634	6.683819948	6.820833134	6.996593249	7.012294902	6.30552736	6.091771756	6.333036649	6.053993197	6.199184821	6.266238087	6.374317324	6.175756116	7.096607289	6.514519972	6.477153813	6.681046743	6.436314	7.141077823
